Date,Close,Open,High,Low
01/03/25,485.25,481.99,496,474.01
01/02/25,477.5,452,484,451.51
01/01/25,450.99,448.9,455,444.5
12/31/24,445,460.11,461,443
12/30/24,455,430,459,426
12/27/24,426,424.5,438,421.05
12/26/24,424.51,431,434.98,422
12/24/24,430,440,446.74,425.02
12/23/24,435.67,408.99,435.67,405.02
12/20/24,397.4,386,399.9,385
12/19/24,390,405,409.05,385
12/18/24,408,423.01,433,405.25
12/17/24,419.51,426,435,411.01
12/16/24,426.5,432,434,424.01
12/13/24,431.01,444.51,444.51,425.01
12/12/24,438,419,447.45,418
12/11/24,418.4,415.01,426.5,413.31
12/10/24,415.97,422,433.98,395
12/09/24,419,408,429.44,406
12/06/24,407.5,380,410,380
12/05/24,372.7,378,379.99,371
12/04/24,377,381.01,383,370.14
12/03/24,380,362.49,390.96,360.01
12/02/24,357.47,339,369,333
11/29/24,336.8,329.37,338,324.5
11/28/24,327,325.51,331.99,323.66
11/27/24,325.11,325,329.7,320.9
11/26/24,321,330.51,332.71,315
11/25/24,332,337.76,339.8,330
11/22/24,337.99,334,344.5,328.15
11/21/24,332.9,320.05,344.74,318.5
11/20/24,320.4,321.1,322.4,317
11/19/24,320.49,323,323,320
11/18/24,322,322,324.5,320
11/15/24,321,323,323,320
11/14/24,320.65,320.01,326.77,320
11/13/24,320.13,318.25,323.52,316
11/12/24,315,321,321.63,314
11/11/24,322,325.15,330,320
11/08/24,327,324,332.39,323.23
11/07/24,323.75,309,326,309
11/06/24,313.8,314,316,312
11/05/24,314.5,316,316.25,311
11/04/24,312.3,306.4,313,305
11/01/24,305,300,306,298
10/31/24,297.8,310.51,311.95,297.8
10/30/24,310,314.5,316.95,309.77
10/29/24,313.9,314.34,315.49,310.5
10/28/24,315.85,317,323.5,313.51
10/25/24,316,316.96,324.33,314.01
10/24/24,316.5,313.97,319.19,312.65
10/23/24,312,316,317,311
10/22/24,316,311.97,317,310.04
10/21/24,311,308.27,312.51,308.27
10/18/24,307.55,309.5,311.9,307.55
10/17/24,309.98,312.89,313,309.85
10/16/24,311.51,314,315.95,310.8
10/15/24,313.5,316.9,319,313.17
10/14/24,316.45,321,323,316.1
10/11/24,320.5,322.84,323.73,320.4
10/10/24,321.3,323,325,320
10/09/24,325,325.55,327.98,320.05
10/08/24,325,325,327.5,324
10/07/24,324.9,314.98,324.9,310
10/04/24,313.4,312.5,314.5,311
10/03/24,311.99,310.89,314.25,309.12
10/02/24,308.03,304,310,302.01
10/01/24,304.3,302.11,305,302.11
09/30/24,303.98,310.01,311,302.78
09/27/24,310.02,318.5,318.5,307.02
